4e03, 1
4e05, 2
4E09, 116
4E0A, 281
4e0b, 262
4e0d, 634
4E16, 128
4e2d, 558
4E43, 49
4e4b, 572
4e5d, 65
4e5f, 110
4E8B, 78
4e91, 18
4ea6, 163
4eac, 21
4eba, 852
4ec3, 1
4eca, 160
4ed8, 7
4ee4, 16
4efb, 8
4f11, 35
4f38, 4
4f4f, 17
4f55, 165
4f5c, 245
4f73, 22
4f86, 284
4f8d, 14
5012, 5
501a, 4
5029, 6
504f, 20
50ac, 7
50b3, 29
50b7, 10
50be, 9
5144, 26
5148, 118
5149, 151
514d, 7
5165, 72
5168, 10
5176, 219
5186, 13
51ac, 1
51b7, 15
51e1, 16
51F5, 1
51fa, 141
5200, 15
5206, 29
522b, 68
522e, 2
5230, 52
524d, 98
526a, 3
5289, 7
528d, 2
529B, 61
529f, 3
52d5, 13
52dd, 15
52f9, 5
52FF, 10
5316, 14
5317, 32
532a, 4
5341, 421
5343, 17
534a, 22
5357, 46
5373, 16
5374, 19
539f, 31
53a6, 3
53bb, 163
53c8, 112
53CB, 28
53d6, 109
53E4, 175
53e5, 142
53EA, 23
53ef, 147
53f2, 77
53F8, 2
5404, 13
5408, 36
5409, 25
540C, 155
540D, 172
5411, 19
541B, 95
542b, 14
5439, 9
543e, 38
5468, 25
546C, 2
547c, 8
547D, 24
548c, 32
548F, 2
54c3, 1
54c9, 27
54e1, 8
54ed, 13
5510, 8
5531, 23
554f, 18
5584, 19
559c, 47
56de, 36
56e0, 43
56E2, 1
56EC, 1
56ED, 6
56f2, 2
570b, 73
5713, 15
5728, 109
5730, 105
5750, 107
57CB, 3
57ce, 42
5802, 14
581E, 2
5824, 2
582a, 68
5831, 10
5854, 7
58EB, 163
58FD, 10
5915, 10
591a, 115
591c, 130
5922, 60
5927, 245
5929, 449
592a, 124
592B, 240
5947, 6
594f, 2
5973, 342
597d, 66
5982, 158
598d, 1
5999, 12
59a8, 5
59b9, 17
59ca, 17
59d1, 11
59d3, 4
59da, 4
5a18, 7
5a1f, 1
5a25, 5
5a49, 6
5a66, 14
5b0c, 9
5b50, 380
5b57, 99
5B78, 48
5b9a, 55
5BA2, 58
5bab, 31
5BB6, 183
5bb9, 70
5bd2, 85
5BF8, 38
5BF9, 54
5c01, 6
5c07, 3
5c0d, 27
5c11, 2
5C19, 9
5c1a, 4
5C3A, 107
5c40, 13
5c45, 17
5c4b, 6
5C71, 104
5ced, 2
5CFF, 1
5d07, 4
5d50, 15
5DDD, 6
5dee, 57
5DFE, 26
5e02, 2
5e03, 11
5e26, 4
5e2b, 5
5e38, 9
5e72, 195
5e73, 27
5e74, 166
5e95, 8
5E97, 1
5ea6, 1
5ea7, 6
5ead, 26
5efa, 5
5f1f, 10
5f2d, 1
5f3a, 12
5f71, 29
5f80, 12
5f8b, 4
5f8c, 37
5f97, 59
5f9e, 30
5fa9, 7
5fae, 62
5fe0, 10
5feb, 15
5ff5, 6
5ffd, 31
601d, 66
6027, 4
6068, 22
6084, 6
6094, 2
60c5, 64
60df, 14
60f1, 6
6101, 38
610F, 42
6148, 5
6172, 2
61d0, 20
6210, 85
6211, 127
6240, 152
624B, 68
624C, 37
624D, 58
6258, 2
6276, 26
628a, 13
6295, 4
62b1, 27
62c2, 8
62CB, 2
6301, 4
6349, 1
6388, 3
6392, 2
63a8, 11
63cf, 7
63d0, 5
63e1, 2
653e, 37
6545, 21
6559, 14
6562, 6
6563, 5
6572, 7
6578, 44
6587, 43
6597, 17
65A4, 12
65B0, 142
65c5, 5
65c8, 2
65d7, 6
65e5, 411
65E9, 13
660c, 7
660e, 145
6613, 25
661F, 30
6620, 21
6625, 71
662f, 97
6642, 125
664B, 1
666F, 19
6674, 10
66F0, 1
66f2, 10
66f4, 83
66f8, 55
66fe, 10
6700, 23
6708, 602
6709, 328
671B, 48
671d, 38
671F, 27
6728, 103
672a, 101
672B, 25
672c, 57
6732, 1
6751, 12
6771, 109
677e, 16
6795, 25
6797, 112
679a, 5
679d, 130
67cf, 4
67d3, 4
67d4, 8
67f3, 4
6811, 1
6821, 4
683d, 4
6842, 1
6843, 5
6850, 2
6885, 27
68a7, 4
68a8, 8
68b3, 6
68e0, 17
68f2, 8
68fa, 1
690D, 4
694a, 21
695a, 18
696d, 9
69d0, 3
6a13, 67
6a2a, 5
6a31, 5
6a4b, 6
6b32, 49
6b47, 4
6B4C, 69
6b62, 11
6b64, 265
6b65, 15
6b98, 22
6bba, 2
6bc5, 12
6bcd, 105
6bcf, 29
6bd4, 63
6c0f, 17
6c11, 14
6c34, 218
6c38, 13
6C60, 1
6cd5, 62
6ce8, 1
6d25, 2
6d6a, 7
6D77, 74
6dcb, 2
6e05, 27
6e38, 14
6e3e, 3
6e56, 11
6eaa, 17
6ee1, 11
6f13, 5
6f22, 16
70ba, 6
70fd, 1
7121, 127
7167, 26
718f, 3
7231, 45
7236, 17
7248, 13
7269, 34
7279, 2
72c2, 15
72d0, 1
731c, 7
7368, 1
7389, 115
738B, 79
73c2, 1
7406, 21
7434, 6
7435, 8
7455, 2
751a, 28
751f, 429
7528, 137
7530, 25
7531, 9
7532, 9
7537, 4
754f, 6
7559, 118
7576, 16
7591, 7
75C5, 1
767d, 22
76ae, 36
76ee, 38
76f8, 201
7709, 6
770b, 26
771f, 25
7720, 16
7738, 3
773c, 24
77E2, 18
77ed, 5
77f3, 131
7834, 2
788e, 6
78A7, 29
7956, 5
795e, 9
798f, 8
79cb, 254
79df, 2
79e6, 12
7a3d, 2
7a7a, 161
7af9, 50
7b11, 49
7b1b, 18
7b2c, 39
7b54, 9
7b75, 8
7d05, 78
7d19, 1
7d2b, 5
7d30, 36
7d42, 8
7d55, 20
7d73, 3
7f8e, 34
7f9e, 11
7fe9, 6
7ffb, 6
8001, 23
8005, 27
800c, 332
806F, 2
8072, 49
8074, 39
8096, 1
80a1, 18
80af, 4
80c3, 2
80e1, 12
80e5, 3
80f8, 2
80fd, 83
8106, 1
8154, 4
8166, 4
8178, 9
81ea, 102
81f4, 12
8207, 113
8209, 5
820d, 7
822b, 4
8239, 5
8272, 93
82b1, 312
82b3, 97
82d4, 6
82E5, 29
82e6, 24
82f1, 34
832b, 20
8349, 35
83ab, 46
83ef, 31
842c, 14
843d, 40
8655, 75
8700, 4
8776, 34
884C, 137
8863, 8
88ab, 2
88c1, 14
88d9, 1
88fe, 2
897F, 16
89e3, 29
8a00, 49
8a18, 28
8a60, 18
8a69, 284
8a71, 7
8a9e, 27
8aaa, 17
8ab0, 10
8ABC, 1
8acb, 2
8AF8, 4
8b02, 1
8B1D, 3
8c01, 1
8c37, 10
8CB4, 1
8ce6, 27
8d4b, 40
8d77, 33
8d85, 5
8d8a, 20
8db3, 58
8ddd, 1
8def, 41
8dfc, 3
8e0f, 5
8eca, 5
8ecd, 4
8F83, 6
8fd1, 19
8fd4, 5
8fe2, 12
8ff4, 6
8ff7, 4
8ffd, 16
9001, 20
900D, 1
901a, 4
9020, 4
9022, 3
9023, 7
9032, 10
9047, 14
904e, 33
9053, 1
90ce, 8
90fd, 15
9149, 16
914C, 8
9152, 75
9163, 10
9189, 43
9196, 1
91ab, 20
91CC, 4
91CD, 48
91cf, 13
91d1, 137
9280, 26
9577, 131
9593, 38
9630, 1
964d, 3
9650, 30
967d, 29
9684, 3
96c1, 14
96c4, 17
96c5, 14
96c6, 34
96d6, 22
96e8, 56
96ea, 31
96f2, 160
96f6, 5
96fb, 3
971c, 4
971e, 11
9732, 20
9752, 87
975c, 17
975e, 31
9762, 7
97fb, 64
982d, 30
983b, 8
9846, 5
984c, 34
985b, 5
9867, 8
98a8, 119
98db, 90
98E0, 1
98ee, 18
9996, 105
9999, 125
99ac, 5
9aa8, 14
9ad4, 17
9ad9, 76
9b42, 22
9b4f, 4
9b5a, 7
9ce5, 6
9cf4, 14
9ec4, 58
9f8d, 10
Wrd_0f9076ea, 1
Wrd_0fe230ca, 1
Wrd_151f919a, 1
Wrd_1c1ef258, 1
Wrd_2160072f, 3
Wrd_25789029, 3
Wrd_274f64e4, 1
Wrd_2fb22081, 1
Wrd_373135db, 3
Wrd_3894eff7, 1
Wrd_46cd7891, 1
Wrd_4c60bd67, 1
Wrd_50b23e0c, 1
Wrd_5131f9fc, 1
Wrd_57f244c9, 2
Wrd_586061e0, 1
Wrd_58b71496, 1
Wrd_5aaeb7d6, 1
Wrd_5e04df5e, 1
Wrd_6084972a, 4
Wrd_6294897f, 1
Wrd_658047a8, 1
Wrd_65b0a69f, 2
Wrd_68c1cc2f, 1
Wrd_6b54f0c5, 1
Wrd_6f87a2bb, 2
Wrd_77b5b025, 1
Wrd_7be4f86d, 1
Wrd_7d57f79a, 1
Wrd_7d8e61ac, 2
Wrd_7ddbcb16, 1
Wrd_7e5f8dfd, 1
